11:13:56.319 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:13:56.319 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 9322
11:13:57.644 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@d6d683e
11:13:57.644 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:13:57.644 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:13:57.644 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 5843
11:13:58.875 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@7eefaca0
11:13:58.875 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:13:58.875 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:13:58.875 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 3552
11:14:00.209 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@76e9eed8
11:14:00.209 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:00.209 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:00.209 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 8245
11:14:01.273 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@452ec287
11:14:01.273 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:01.273 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:01.273 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 3767
11:14:02.355 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@32d1d6c5
11:14:02.355 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:02.355 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:02.355 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 6107
11:14:03.501 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@484b5a21
11:14:03.501 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:03.501 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
